Code,Name
1,長和
2,中電控股
3,香港中華煤氣
5,滙豐控股
6,電能實業
11,恒生銀行
12,恒基地產
16,新鴻基地產
17,新世界發展
19,太古股份公司Ａ
23,東亞銀行
27,銀河娛樂
66,港鐵公司
83,信和置業
101,恒隆地產
144,招商局港口
151,中國旺旺
175,吉利汽車
267,中信股份
288,萬洲國際
386,中國石油化工股份
388,香港交易所
688,中國海外發展
700,騰訊控股
762,中國聯通
823,領展房產基金
836,華潤電力
857,中國石油股份
883,中國海洋石油
939,建設銀行
941,中國移動
1038,長江基建集團
1044,恒安國際
1088,中國神華
1093,石藥集團
1109,華潤置地
1113,長實集團
1299,友邦保險
1398,工商銀行
1928,金沙中國有限公司
1997,九龍倉置業
2007,碧桂園
2018,瑞聲科技
2318,中國平安
2319,蒙牛乳業
2382,舜宇光學科技
2388,中銀香港
2628,中國人壽
3328,交通銀行
3988,中國銀行
